Provider code,Provider name,Distance to University of Auckland,Distance to AUT,Distance to University of Waikato,Distance to Massey University,Distance to Victoria University of Wellington,Distance to University of Canterbury,Distance to Lincoln University,Distance to University of Otago,2017_TA,2017_Region,2017_urban_rural,2017_authority,2017_school_type,2017_school_gender,2017_decile,Decile,Decile_bands,Min distance to  Uni,Nearest Uni,Distance to nearest uni,Longitude,Latitude,Size
530,Waiheke High School,39.4,39.8,148,539,721,"1,157","1,171","1,506",Auckland - Waiheke,Auckland Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,7,7,2-Middle,39.4,Auckland,Bus Range,175.027615,-36.801066,208
170,Waitara High School,345,345,224,241,426,861,876,"1,211",New Plymouth District,Taranaki Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,224,Hamilton,Remote,174.245055,-38.996615,171
8,Bay of Islands College,215,216,344,735,917,"1,353","1,368","1,702",Far North District,Northland Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,215,Auckland,Remote,174.075901,-35.379502,172
110,Mercury Bay Area School,191,191,175,528,710,"1,145","1,160","1,494",Thames-Coromandel District,Waikato Region,Minor Urban Area,State,Composite,Co-Educational,5,5,2-Middle,175,Hamilton,Remote,175.698102,-36.841247,233
298,Motueka High School,925,926,796,414,284,422,437,772,Tasman District,Tasman Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,284,Wellington,Remote,173.004622,-41.11485,397
14,Tikipunga High School,166,167,296,686,868,"1,304","1,319","1,653",Whangarei District,Northland Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,2,2,3-Lower,166,Auckland,Remote,174.328316,-35.683558,119
183,Ruapehu College,360,361,239,162,344,780,794,"1,129",Ruapehu District,Manawatu-Wanganui Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,162,Palmy,Remote,175.412796,-39.41725,92
22,Ruawai College,151,151,280,671,853,"1,288","1,303","1,638",Kaipara District,Northland Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,151,Auckland,Remote,174.011673,-36.12257,57
143,Trident High School,296,297,186,410,592,"1,028","1,043","1,377",Whakatane District,Bay of Plenty Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,186,Hamilton,Remote,176.975956,-37.973481,732
428,Whangamata Area School,160,160,118,476,658,"1,094","1,109","1,443",Thames-Coromandel District,Waikato Region,Minor Urban Area,State,Composite,Co-Educational,4,4,3-Lower,118,Hamilton,Remote,175.866532,-37.215339,108
358,Roncalli College,"1,240","1,240","1,111",729,598,159,148,195,Timaru District,Canterbury Region,Secondary Urban Area,State : Integrated,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,148,Canterbury,Remote,171.245982,-44.402798,276
372,Dunstan High School,"1,527","1,527","1,397","1,015",885,445,435,193,Central Otago District,Otago Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,193,Otago,Remote,169.386878,-45.245876,321
26,Kaipara College,43.3,43.7,188,579,761,"1,196","1,211","1,546",Auckland - Rodney,Auckland Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,43.3,Auckland,Bus Range,174.459138,-36.680156,352
347,Lincoln High School,"1,099","1,100",970,588,458,17.1,3.3,345,Selwyn District,Canterbury Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,10,10,1-Higher,3.3,Canterbury,Nearby,172.485673,-43.635766,999
683,Ao Tawhiti Unlimited Discovery,"1,085","1,085",955,573,443,1.8,16.7,352,Christchurch City,Canterbury Region,Main Urban Area,State,Composite,Co-Educational,7,7,2-Middle,1.8,Canterbury,Nearby,172.568057,-43.523017,193
349,Ellesmere College,"1,119","1,119",989,607,477,38.6,21.4,326,Selwyn District,Canterbury Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,8,8,1-Higher,21.4,Canterbury,Nearby,172.292414,-43.757831,218
548,Aurora College,"1,641","1,642","1,512","1,130","1,000",560,549,208,Invercargill City,Southland Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,2,2,3-Lower,208,Otago,Remote,168.384079,-46.43114,142
225,Woodford House,438,439,309,169,309,745,760,"1,094",Hastings District,Hawke's Bay Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),9,9,1-Higher,169,Palmy,Remote,176.880403,-39.684214,198
386,Columba College,"1,436","1,436","1,306",925,794,355,344,3,Dunedin City,Otago Region,Main Urban Area,State : Integrated,Composite,Primary Co-ed; Secondary Girls,10,10,1-Higher,3,Otago,Nearby,170.493983,-45.863466,231
346,Darfield High School,"1,120","1,120",991,609,478,42.3,41,342,Selwyn District,Canterbury Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,9,9,1-Higher,41,Canterbury,Bus Range,172.10366,-43.490028,328
141,St Peter's School (Cambridge),144,145,16.6,380,562,998,"1,013","1,347",Waipa District,Waikato Region,Main Urban Area,Private : Fully Registered,Secondary (Year 7-15),Co-Educational,9,9,1-Higher,16.6,Hamilton,Nearby,175.428898,-37.890555,508
397,St Peter's College (Gore),"1,589","1,589","1,460","1,078",947,508,497,156,Gore District,Southland Region,Minor Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,8,8,1-Higher,156,Otago,Remote,168.924031,-46.107165,171
140,Waikato Diocesan School For Girls,125,125,7.1,401,583,"1,019","1,034","1,368",Hamilton City,Waikato Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),10,10,1-Higher,7.1,Hamilton,Nearby,175.267808,-37.764497,433
357,Craighead Diocesan School,"1,239","1,240","1,110",728,598,158,147,198,Timaru District,Canterbury Region,Secondary Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),9,9,1-Higher,147,Canterbury,Remote,171.225492,-44.388301,175
245,Rathkeale College,607,607,477,87.5,107,543,557,892,Masterton District,Wellington Region,Secondary Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Boys School),9,9,1-Higher,87.5,Palmy,Bus Range,175.687565,-40.898298,293
546,Samuel Marsden Collegiate School - Whitby,630,630,500,118,29.8,465,480,814,Porirua City,Wellington Region,Main Urban Area,Private : Fully Registered,Secondary (Year 7-15),Co-Educational,10,10,1-Higher,29.8,Wellington,Bus Range,174.894118,-41.114985,64
114,Waihi College,142,143,89.2,442,624,"1,060","1,074","1,409",Hauraki District,Waikato Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,89.2,Hamilton,Bus Range,175.83115,-37.386212,250
146,Te Awamutu College,156,157,30.2,364,546,982,997,"1,331",Waipa District,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,30.2,Hamilton,Bus Range,175.314937,-38.006315,634
234,Dannevirke High School,535,535,405,64.4,205,641,656,990,Tararua District,Manawatu-Wanganui Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,64.4,Palmy,Bus Range,176.101029,-40.201339,236
144,Whakatane High School,296,296,186,410,592,"1,028","1,043","1,377",Whakatane District,Bay of Plenty Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,186,Hamilton,Remote,176.985794,-37.962394,473
7,Okaihau College,248,248,377,768,950,"1,385","1,400","1,734",Far North District,Northland Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,2,2,3-Lower,248,Auckland,Remote,173.765763,-35.323759,166
210,Gisborne Girls' High School,479,479,369,396,536,972,987,"1,321",Gisborne District,Gisborne Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),3,3,3-Lower,369,Hamilton,Remote,178.008233,-38.655219,453
404,Southland Boys' High School,"1,641","1,641","1,511","1,130",999,560,549,208,Invercargill City,Southland Region,Main Urban Area,State,Secondary (Year 7-15),Single Sex (Boys School),6,6,2-Middle,208,Otago,Remote,168.359101,-46.395634,380
2,Taipa Area School,309,309,438,829,"1,010","1,446","1,461","1,795",Far North District,Northland Region,Minor Urban Area,State,Composite,Co-Educational,2,2,3-Lower,309,Auckland,Remote,173.464301,-34.994709,81
205,Manawatu College,537,538,408,45.1,231,666,681,"1,015",Horowhenua District,Manawatu-Wanganui Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,45.1,Palmy,Bus Range,175.277658,-40.466437,139
304,John Paul II High School,"1,094","1,095",965,583,453,237,241,543,Grey District,West Coast Region,Secondary Urban Area,State : Integrated,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,237,Canterbury,Remote,171.21203,-42.451507,105
244,Chanel College,611,611,481,91.9,99,535,550,884,Masterton District,Wellington Region,Secondary Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,5,5,2-Middle,91.9,Palmy,Bus Range,175.655051,-40.960108,130
21,Otamatea High School,116,116,245,636,817,"1,253","1,268","1,602",Kaipara District,Northland Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,116,Auckland,Remote,174.365259,-36.11723,165
314,Kaiapoi High School,"1,065","1,065",935,554,423,21.5,36.3,371,Waimakariri District,Canterbury Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,21.5,Canterbury,Nearby,172.646126,-43.387172,447
111,Thames High School,114,115,98.4,451,633,"1,069","1,084","1,418",Thames-Coromandel District,Waikato Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,98.4,Hamilton,Bus Range,175.544879,-37.139546,332
197,Feilding High School,502,502,372,24.9,215,651,665,"1,000",Manawatu District,Manawatu-Wanganui Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,24.9,Palmy,Nearby,175.573639,-40.214241,753
77,Bethlehem College,198,199,96.9,393,575,"1,010","1,025","1,360",Tauranga City,Bay of Plenty Region,Main Urban Area,State : Integrated,Composite,Co-Educational,9,9,1-Higher,96.9,Hamilton,Bus Range,176.11123,-37.704974,541
201,Queen Elizabeth College,528,528,398,6.4,191,627,642,976,Palmerston North City,Manawatu-Wanganui Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,6.4,Palmy,Nearby,175.604574,-40.3469,114
148,Opotiki College,339,340,229,457,639,"1,075","1,089","1,424",Opotiki District,Bay of Plenty Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,229,Hamilton,Remote,177.288103,-38.013132,206
159,Forest View High School,214,215,84.9,314,496,932,947,"1,281",South Waikato District,Waikato Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,84.9,Hamilton,Bus Range,175.842947,-38.220079,177
19,Dargaville High School,179,179,308,699,880,"1,316","1,331","1,665",Kaipara District,Northland Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,179,Auckland,Remote,173.868056,-35.931691,241
115,Te Kauwhata College,78,78.3,59.1,450,632,"1,067","1,082","1,417",Waikato District,Waikato Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,59.1,Hamilton,Bus Range,175.149295,-37.400589,194
418,Rangiora New Life School,"1,062","1,062",932,550,420,29.8,44.7,379,Waimakariri District,Canterbury Region,Secondary Urban Area,State : Integrated,Composite,Co-Educational,9,9,1-Higher,29.8,Canterbury,Bus Range,172.598016,-43.320251,126
235,Tararua College,546,546,416,35.6,162,597,612,946,Tararua District,Manawatu-Wanganui Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,35.6,Palmy,Bus Range,175.834844,-40.456045,173
188,Whanganui Girls' College,445,445,324,81.2,266,702,716,"1,051",Whanganui District,Manawatu-Wanganui Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),3,3,3-Lower,81.2,Palmy,Bus Range,175.055092,-39.919787,167
365,Waitaki Boys' High School,"1,321","1,322","1,192",810,680,240,230,114,Waitaki District,Otago Region,Secondary Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),6,6,2-Middle,114,Otago,Remote,170.99382,-45.076998,250
241,Wairarapa College,610,610,480,90.9,99.1,535,550,884,Masterton District,Wellington Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,90.9,Palmy,Bus Range,175.646283,-40.9503,602
360,Timaru Boys' High School,"1,240","1,240","1,111",729,598,159,148,196,Timaru District,Canterbury Region,Secondary Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),7,7,2-Middle,148,Canterbury,Remote,171.230188,-44.400183,397
151,Western Heights High School,225,225,99.7,331,513,949,963,"1,298",Rotorua District,Bay of Plenty Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,99.7,Hamilton,Bus Range,176.221187,-38.119568,893
105,Waiuku College,63.9,64.2,114,505,687,"1,123","1,137","1,472",Auckland - Franklin,Auckland Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,63.9,Auckland,Bus Range,174.725723,-37.251019,453
129,Fairfield College,123,124,6.3,401,583,"1,018","1,033","1,367",Hamilton City,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,6.3,Hamilton,Nearby,175.276551,-37.76172,426
312,Rangiora High School,"1,061","1,061",931,549,419,32.7,47.5,382,Waimakariri District,Canterbury Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,9,9,1-Higher,32.7,Canterbury,Bus Range,172.598729,-43.298192,1033
251,Heretaunga College,648,648,518,136,33.2,469,484,818,Upper Hutt City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,33.2,Wellington,Bus Range,175.055074,-41.129088,454
167,Taupo-Nui-A-Tia College,278,278,148,248,430,866,881,"1,215",Taupo District,Waikato Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,148,Hamilton,Remote,176.078756,-38.681065,603
123,Te Puke High School,233,233,123,383,565,"1,001","1,016","1,350",Western Bay of Plenty District,Bay of Plenty Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,123,Hamilton,Remote,176.318221,-37.788258,502
117,Katikati College,167,168,114,424,606,"1,042","1,056","1,391",Western Bay of Plenty District,Bay of Plenty Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,114,Hamilton,Remote,175.921779,-37.552923,350
220,William Colenso College,416,416,286,185,326,762,776,"1,111",Napier City,Hawke's Bay Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,2,2,3-Lower,185,Palmy,Remote,176.895837,-39.506064,249
195,Rangitikei College,491,491,361,51.3,236,672,686,"1,021",Rangitikei District,Manawatu-Wanganui Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,51.3,Palmy,Bus Range,175.384373,-40.06965,186
405,Southland Girls' High School,"1,641","1,641","1,511","1,129",999,560,549,207,Invercargill City,Southland Region,Main Urban Area,State,Secondary (Year 7-15),Single Sex (Girls School),5,5,2-Middle,207,Otago,Remote,168.36516,-46.417471,515
103,Pukekohe High School,53.3,53.6,93.3,484,666,"1,102","1,116","1,451",Auckland - Franklin,Auckland Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,53.3,Auckland,Bus Range,174.905825,-37.204551,1068
704,Haeata Community Campus,"1,082","1,083",953,571,440,11.8,27.4,365,Christchurch City,Canterbury Region,Main Urban Area,State,Composite,Co-Educational,1,1,3-Lower,11.8,Canterbury,Nearby,172.69638,-43.516625,161
714,Pacific Advance Senior School,15.3,15.6,120,511,693,"1,128","1,143","1,478",Auckland - Mangere-Otahuhu,Auckland Region,Main Urban Area,Partnership School,Secondary (Year 9-15),Co-Educational,99,99,1-Higher,15.3,Auckland,Nearby,174.844396,-36.941856,94
631,Kia Aroha College,21.8,22.2,114,505,687,"1,122","1,137","1,471",Auckland - Otara-Papatoetoe,Auckland Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,1,1,3-Lower,21.8,Auckland,Nearby,174.892768,-36.980854,109
288,Marlborough Boys' College,774,774,645,263,132,313,328,662,Marlborough District,Marlborough Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),6,6,2-Middle,132,Wellington,Remote,173.955063,-41.51902,520
337,Linwood College,"1,083","1,084",954,572,442,9.4,24.6,362,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,3,3,3-Lower,9.4,Canterbury,Nearby,172.667663,-43.538767,462
134,Flaxmere College,432,433,303,172,312,748,763,"1,097",Hastings District,Hawke's Bay Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,1,1,3-Lower,172,Palmy,Remote,176.788804,-39.623996,175
216,Napier Boys' High School,417,418,288,187,328,764,778,"1,113",Napier City,Hawke's Bay Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),6,6,2-Middle,187,Palmy,Remote,176.916453,-39.514768,726
236,Horowhenua College,556,557,427,45.1,231,666,681,"1,015",Horowhenua District,Manawatu-Wanganui Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,45.1,Palmy,Bus Range,175.279764,-40.621227,339
198,Awatapu College,532,532,402,4.8,189,625,640,974,Palmerston North City,Manawatu-Wanganui Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,4.8,Palmy,Nearby,175.600206,-40.372423,354
563,Albany Senior High School,22.8,23.1,152,543,725,"1,160","1,175","1,509",Auckland - Upper Harbour,Auckland Region,Main Urban Area,State,Secondary (Year 11-15),Co-Educational,10,10,1-Higher,22.8,Auckland,Nearby,174.695766,-36.730178,771
208,Lytton High School,477,477,367,396,536,972,987,"1,321",Gisborne District,Gisborne Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,367,Hamilton,Remote,178.000181,-38.643869,384
393,South Otago High School,"1,517","1,517","1,387","1,005",875,435,425,83.3,Clutha District,Otago Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,83.3,Otago,Bus Range,169.728524,-46.246237,324
200,Freyberg High School,519,519,390,7.6,192,628,643,977,Palmerston North City,Manawatu-Wanganui Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,7.6,Palmy,Nearby,175.627632,-40.337826,736
331,St Thomas of Canterbury College,"1,086","1,087",957,575,445,3.5,15,351,Christchurch City,Canterbury Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),8,8,1-Higher,3.5,Canterbury,Nearby,172.556211,-43.533612,330
262,Sacred Heart College (Lower Hutt),652,653,523,141,16.7,452,467,802,Lower Hutt City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),7,7,2-Middle,16.7,Wellington,Nearby,174.906699,-41.213997,469
182,Hawera High School,416,416,295,169,353,789,804,"1,138",South Taranaki District,Taranaki Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,169,Palmy,Remote,174.275269,-39.58516,444
106,Tuakau College,58.1,58.4,88.8,480,661,"1,097","1,112","1,446",Waikato District,Waikato Region,Secondary Urban Area,State,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,58.1,Auckland,Bus Range,174.93426,-37.263023,225
174,Sacred Heart Girls' College (New Plymouth),358,359,237,238,423,859,873,"1,208",New Plymouth District,Taranaki Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),8,8,1-Higher,237,Hamilton,Remote,174.102286,-39.052621,292
6763,Whangaparaoa College,42.4,42.8,172,562,744,"1,180","1,195","1,529",Auckland - Hibiscus and Bays,Auckland Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,9,9,1-Higher,42.4,Auckland,Bus Range,174.745362,-36.632624,590
366,Waitaki Girls' High School,"1,323","1,323","1,193",812,681,242,231,112,Waitaki District,Otago Region,Secondary Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),6,6,2-Middle,112,Otago,Remote,170.974331,-45.088979,238
376,Logan Park High School,"1,435","1,435","1,306",924,793,354,343,1.4,Dunedin City,Otago Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,1.4,Otago,Nearby,170.528807,-45.861857,364
269,Onslow College,641,641,511,129,11.3,446,460,795,Wellington City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,10,10,1-Higher,11.3,Wellington,Nearby,174.797671,-41.231915,786
261,Hutt Valley High School,652,652,522,140,16,452,467,801,Lower Hutt City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,16,Wellington,Nearby,174.901463,-41.216497,1107
131,Hamilton Boys' High School,127,127,3.6,398,580,"1,016","1,030","1,365",Hamilton City,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),7,7,2-Middle,3.6,Hamilton,Nearby,175.294802,-37.784988,1446
317,Christchurch Adventist School,"1,078","1,078",948,567,436,4.8,24.5,359,Christchurch City,Canterbury Region,Main Urban Area,State : Integrated,Composite,Co-Educational,5,5,2-Middle,4.8,Canterbury,Nearby,172.611436,-43.499023,55
172,New Plymouth Girls' High School,359,359,238,238,422,858,873,"1,207",New Plymouth District,Taranaki Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),7,7,2-Middle,238,Hamilton,Remote,174.09477,-39.054795,780
226,St John's College (Hastings),432,432,302,168,309,744,759,"1,093",Hastings District,Hawke's Bay Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Boys School),4,4,3-Lower,168,Palmy,Remote,176.857153,-39.639766,213
218,Tamatea High School,416,417,287,181,322,758,773,"1,107",Napier City,Hawke's Bay Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,181,Palmy,Remote,176.870976,-39.51829,152
5,Kerikeri High School,246,246,375,766,948,"1,383","1,398","1,733",Far North District,Northland Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,246,Auckland,Remote,173.955388,-35.228353,645
408,Verdon College,"1,639","1,639","1,509","1,127",997,558,547,205,Invercargill City,Southland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,205,Otago,Remote,168.397288,-46.41572,278
343,Marian College,"1,083","1,084",954,572,442,6.9,22.1,360,Christchurch City,Canterbury Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),8,8,1-Higher,6.9,Canterbury,Nearby,172.646143,-43.539044,244
284,St Catherine's College,654,654,524,143,6.2,447,462,796,Wellington City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),6,6,2-Middle,6.2,Wellington,Nearby,174.79248,-41.318043,149
30,Glenfield College,17.4,17.8,147,537,719,"1,155","1,170","1,504",Auckland - Kaipatiki,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,17.4,Auckland,Nearby,174.714953,-36.779801,288
383,King's High School,"1,440","1,440","1,310",928,798,359,348,6.6,Dunedin City,Otago Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),7,7,2-Middle,6.6,Otago,Nearby,170.494239,-45.902928,599
204,St Peter's College (Palmerston North),517,518,388,9.5,194,630,645,979,Palmerston North City,Manawatu-Wanganui Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,9.5,Palmy,Nearby,175.605351,-40.334097,263
142,Cambridge High School,146,146,19.4,378,560,995,"1,010","1,344",Waipa District,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,9,9,1-Higher,19.4,Hamilton,Nearby,175.470878,-37.878116,923
192,Wanganui Collegiate School,445,445,324,79.3,264,700,714,"1,049",Whanganui District,Manawatu-Wanganui Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Co-Educational,9,9,1-Higher,79.3,Palmy,Bus Range,175.038219,-39.929603,297
1190,Elim Christian College,20.1,20.4,122,512,694,"1,130","1,145","1,479",Auckland - Howick,Auckland Region,Main Urban Area,State : Integrated,Composite,Co-Educational,8,8,1-Higher,20.1,Auckland,Nearby,174.915748,-36.913922,332
369,St Kevin's College,"1,321","1,321","1,192",810,679,240,229,115,Waitaki District,Otago Region,Secondary Urban Area,State : Integrated,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,115,Otago,Remote,170.983153,-45.064918,250
61,Baradene College of the Sacred Heart,4.4,4.8,130,521,703,"1,138","1,153","1,487",Auckland - Orakei,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),9,9,1-Higher,4.4,Auckland,Nearby,174.800324,-36.865643,538
